Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Argentina,20,4.0,6,57,16,28.1,14.25,4.00,0.11,0.38,18.0,5,0,1,4.9,4.1,0.07,+1.1,+1.9
Australia,15,3.0,2,32,7,21.9,10.67,2.33,0.00,0.00,17.0,2,2,2,3.5,2.0,0.06,-1.5,-2.0
Belgium,21,7.0,15,107,35,32.7,15.29,5.00,0.13,0.40,16.6,4,1,1,11.8,11.1,0.10,+3.2,+2.9
Brazil,18,5.0,8,103,39,37.9,20.60,7.80,0.08,0.21,16.5,2,0,0,11.8,11.8,0.12,-3.8,-3.8
Colombia,20,4.3,6,41,12,29.3,9.46,2.77,0.15,0.50,19.2,3,0,0,2.7,2.7,0.07,+3.3,+3.3
Costa Rica,20,3.0,1,27,9,33.3,9.00,3.00,0.04,0.11,19.8,0,0,1,2.1,1.3,0.05,-1.1,-0.3
Croatia,21,8.0,13,112,27,24.1,14.00,3.38,0.11,0.44,19.2,5,1,2,10.2,8.7,0.08,+2.8,+3.3
Denmark,20,4.3,3,40,12,30.0,9.23,2.77,0.08,0.25,20.1,2,0,0,2.8,2.8,0.07,+0.2,+0.2
Egypt,16,3.0,2,30,5,16.7,10.00,1.67,0.03,0.20,19.4,0,1,1,2.6,1.8,0.06,-0.6,-0.8
England,21,7.7,12,93,22,23.7,12.13,2.87,0.10,0.41,16.3,7,3,3,10.0,7.7,0.09,+2.0,+1.3
France,21,7.0,12,79,26,32.9,11.29,3.71,0.11,0.35,19.3,6,3,3,8.1,5.8,0.08,+3.9,+3.2
Germany,20,3.0,2,73,20,27.4,24.33,6.67,0.03,0.10,17.1,1,0,0,5.9,5.9,0.08,-3.9,-3.9
Iceland,18,3.0,2,34,10,29.4,11.33,3.33,0.03,0.10,16.4,2,1,2,4.1,2.6,0.08,-2.1,-1.6
Iran,16,3.0,1,22,3,13.6,7.33,1.00,0.00,0.00,18.3,3,1,1,2.2,1.5,0.07,-1.2,-1.5
Japan,18,4.0,6,43,15,34.9,10.75,3.75,0.12,0.33,16.0,1,1,1,4.5,4.0,0.09,+1.5,+1.0
Korea Republic,19,3.0,3,34,11,32.4,11.33,3.67,0.09,0.27,20.3,2,0,0,2.9,2.9,0.09,+0.1,+0.1
Mexico,19,4.0,3,61,12,19.7,15.25,3.00,0.03,0.17,19.7,2,1,1,4.7,4.0,0.07,-1.7,-2.0
Morocco,19,3.0,2,39,10,25.6,13.00,3.33,0.05,0.20,15.9,1,0,0,3.1,3.1,0.08,-1.1,-1.1
Nigeria,16,3.0,3,38,8,21.1,12.67,2.67,0.05,0.25,20.5,1,1,1,3.1,2.3,0.06,-0.1,-0.3
Panama,20,3.0,1,24,8,33.3,8.00,2.67,0.04,0.13,20.4,2,0,0,2.3,2.3,0.10,-1.3,-1.3
Peru,17,3.0,2,32,11,34.4,10.67,3.67,0.06,0.18,20.9,1,0,1,2.6,1.8,0.06,-0.6,+0.2
Poland,21,3.0,2,32,7,21.9,10.67,2.33,0.06,0.29,16.6,1,0,0,2.6,2.6,0.08,-0.6,-0.6
Portugal,18,4.0,6,56,11,19.6,14.00,2.75,0.09,0.45,21.0,6,1,2,4.5,3.0,0.05,+1.5,+2.0
Russia,19,5.7,10,49,18,36.7,8.65,3.18,0.18,0.50,16.7,1,1,1,4.4,3.6,0.07,+5.6,+5.4
Saudi Arabia,20,3.0,2,33,7,21.2,11.00,2.33,0.03,0.14,22.3,3,1,2,2.9,1.4,0.04,-0.9,-0.4
Senegal,18,3.0,3,29,11,37.9,9.67,3.67,0.10,0.27,17.0,2,0,0,3.3,3.3,0.11,-0.3,-0.3
Serbia,18,3.0,2,35,6,17.1,11.67,2.00,0.06,0.33,15.1,1,0,0,3.5,3.5,0.10,-1.5,-1.5
Spain,17,4.3,6,72,20,27.8,16.62,4.62,0.08,0.30,15.5,4,0,0,7.6,7.6,0.11,-1.6,-1.6
Sweden,19,5.0,5,56,19,33.9,11.20,3.80,0.05,0.16,17.3,5,2,2,6.8,5.3,0.10,-1.8,-2.3
Switzerland,17,4.0,5,55,13,23.6,13.75,3.25,0.09,0.38,19.9,1,0,0,3.6,3.6,0.07,+1.4,+1.4
Tunisia,23,3.0,5,37,11,29.7,12.33,3.67,0.11,0.36,19.1,0,1,1,4.8,4.1,0.11,+0.2,-0.1
Uruguay,19,5.0,6,63,20,31.7,12.60,4.00,0.10,0.30,17.4,6,0,0,5.9,5.9,0.10,+0.1,+0.1